Invoice_ID,branch,city,customer_type,gender,product_line,unit_price,quantity,total,date,time,payment,payments_fee,gross_income,cost_price,unit_cost
765-26-6951,A,Yangon,Normal,Male,Sports and travel,76.24,6,457.43999999999994,2019-01-01,2024-12-18 10:39:00,Credit card,13.72,68.62,388.79999999999995,64.8
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,49.97,8,399.76,2019-01-01,2024-12-18 14:47:00,Cash,0.0,71.96,327.84,40.98
891-01-7034,B,Mandalay,Normal,Male,Electronic accessories,78.45,6,470.70000000000005,2019-01-01,2024-12-18 19:07:00,Cash,0.0,70.6,400.08000000000004,66.68
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,38.83,10,388.29999999999995,2019-01-01,2024-12-18 19:48:00,Credit card,11.65,58.24,330.09999999999997,33.01
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,66.38,2,132.76,2019-01-01,2024-12-18 15:51:00,Cash,0.0,19.91,112.86,56.43
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,66.02,2,132.04,2019-01-01,2024-12-18 11:43:00,Cash,0.0,29.05,102.98,51.49
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,69.03,9,621.27,2019-01-01,2024-12-18 13:55:00,Cash,0.0,155.31,465.93,51.77
182-52-7000,A,Yangon,Member,Female,Sports and travel,28.39,4,113.56,2019-01-01,2024-12-18 20:26:00,Ewallet,1.7,17.04,96.52,24.13
416-17-9926,A,Yangon,Member,Male,Electronic accessories,77.93,10,779.3000000000001,2019-01-01,2024-12-18 14:42:00,Credit card,23.38,116.9,662.4,66.24
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,30.68,6,184.07999999999998,2019-01-01,2024-12-18 11:40:00,Ewallet,2.76,27.61,156.48,26.08
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,22.18,8,177.44,2019-01-01,2024-12-18 19:31:00,Cash,0.0,21.29,156.16,19.52
746-04-1077,B,Mandalay,Member,Female,Food and beverages,88.86,10,888.6,2019-01-01,2024-12-18 11:36:00,Credit card,26.66,106.63,782.0,78.2
651-88-7325,A,Yangon,Normal,Female,Clothes and accessories,33.42,8,267.36,2019-01-01,2024-12-18 13:57:00,Cash,4.29,18.72,248.64,31.08
504-35-8843,A,Yangon,Normal,Male,Sports and travel,44.59,1,44.59,2019-01-02,2024-12-18 16:57:00,Cash,0.0,6.69,37.9,37.9
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,104.81,2,209.62,2019-01-02,2024-12-18 18:09:00,Credit card,6.29,52.41,157.22,78.61
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,35.92,10,359.20000000000005,2019-01-02,2024-12-18 13:00:00,Cash,0.0,79.03,280.2,28.02
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,42.64,9,383.76,2019-01-02,2024-12-18 13:40:00,Cash,0.0,95.94,287.82,31.98
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,23.11,6,138.66,2019-01-02,2024-12-18 18:50:00,Cash,0.0,20.8,117.84,19.64
712-39-0363,A,Yangon,Member,Male,Food and beverages,43.74,6,262.44,2019-01-02,2024-12-18 15:24:00,Ewallet,3.94,31.5,230.94,38.49
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,33.25,8,266.0,2019-01-02,2024-12-18 16:19:00,Credit card,7.98,39.9,226.16,28.27
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,46.86,6,281.15999999999997,2019-01-02,2024-12-18 20:08:00,Credit card,8.44,42.18,238.98,39.83
446-47-6728,C,Naypyitaw,Normal,Male,Clothes and accessories,73.22,2,146.44,2019-01-02,2024-12-18 18:20:00,Credit card,3.16,10.25,136.18,68.09
198-84-7137,B,Mandalay,Member,Male,Clothes and accessories,11.14,9,100.26,2019-01-02,2024-12-18 13:46:00,Cash,0.0,7.02,93.24,10.36
249-42-3782,A,Yangon,Normal,Male,Health and beauty,73.51,5,367.55,2019-01-03,2024-12-18 11:36:00,Ewallet,5.51,80.86,286.70000000000005,57.34
749-24-1565,A,Yangon,Normal,Female,Health and beauty,24.18,9,217.62,2019-01-03,2024-12-18 12:02:00,Ewallet,3.26,47.88,169.74,18.86
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,22.18,2,44.36,2019-01-03,2024-12-18 19:17:00,Cash,0.0,9.76,34.6,17.3
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,70.44,5,352.2,2019-01-03,2024-12-18 16:47:00,Credit card,10.57,63.4,288.8,57.76
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,79.67,1,79.67,2019-01-03,2024-12-18 10:30:00,Credit card,2.39,17.53,62.14,62.14
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,98.05,1,98.05,2019-01-03,2024-12-18 13:07:00,Cash,0.0,14.71,83.34,83.34
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,66.31,6,397.86,2019-01-03,2024-12-18 20:24:00,Ewallet,5.97,71.61,326.21999999999997,54.37
552-44-5977,B,Mandalay,Member,Male,Health and beauty,65.1,8,520.8,2019-01-03,2024-12-18 19:08:00,Credit card,15.62,114.58,406.24,50.78
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,75.78,1,75.78,2019-01-04,2024-12-18 19:40:00,Cash,0.0,11.37,64.41,64.41
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,69.98,9,629.82,2019-01-04,2024-12-18 18:19:00,Credit card,18.9,94.48,535.3199999999999,59.48
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,48.74,3,146.22,2019-01-04,2024-12-18 13:24:00,Credit card,4.39,21.93,124.28999999999999,41.43
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,37.32,10,373.2,2019-01-04,2024-12-18 13:34:00,Ewallet,5.6,67.17,306.0,30.6
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,72.15,4,288.6,2019-01-04,2024-12-18 19:01:00,Cash,0.0,72.15,216.44,54.11
132-23-6451,A,Yangon,Member,Female,Health and beauty,22.02,5,110.1,2019-01-04,2024-12-18 13:21:00,Cash,0.0,24.22,85.85000000000001,17.17
725-32-9709,B,Mandalay,Member,Female,Clothes and accessories,42.73,3,128.19,2019-01-04,2024-12-18 19:01:00,Cash,3.64,8.97,119.22,39.74
750-67-8428,A,Yangon,Member,Female,Health and beauty,78.42,7,548.94,2019-01-05,2024-12-18 13:08:00,Ewallet,8.23,120.77,428.19,61.17
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,28.75,6,172.5,2019-01-05,2024-12-18 20:54:00,Credit card,5.17,43.12,129.35999999999999,21.56
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,65.78,4,263.12,2019-01-05,2024-12-18 11:25:00,Cash,0.0,47.36,215.76,53.94
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,74.28,4,297.12,2019-01-05,2024-12-18 16:05:00,Credit card,8.91,53.48,243.64,60.91
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,37.15,9,334.34999999999997,2019-01-05,2024-12-18 19:50:00,Credit card,10.03,60.18,274.14,30.46
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,33.5,1,33.5,2019-01-05,2024-12-18 12:40:00,Ewallet,0.5,8.38,25.12,25.12
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,45.06,5,225.3,2019-01-05,2024-12-18 17:29:00,Ewallet,3.38,40.55,184.75,36.95
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,77.66,1,77.66,2019-01-05,2024-12-18 11:32:00,Credit card,2.33,19.42,58.24,58.24
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,74.76,1,74.76,2019-01-05,2024-12-18 20:40:00,Credit card,2.24,8.97,65.79,65.79
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,79.86,3,239.57999999999998,2019-01-05,2024-12-18 20:30:00,Credit card,7.19,59.9,179.7,59.9
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,82.83,7,579.81,2019-01-05,2024-12-18 19:48:00,Ewallet,8.7,127.56,452.27,64.61
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,98.57,7,689.99,2019-01-05,2024-12-18 11:51:00,Credit card,20.7,103.5,586.5300000000001,83.79
628-34-3385,C,Naypyitaw,Normal,Male,Clothes and accessories,15.4,8,123.2,2019-01-05,2024-12-18 21:01:00,Credit card,2.65,8.62,114.56,14.32
573-98-8544,C,Naypyitaw,Member,Female,Clothes and accessories,16.05,1,16.05,2019-01-05,2024-12-18 12:43:00,Ewallet,2.79,1.12,14.93,14.93
339-12-4828,B,Mandalay,Member,Female,Clothes and accessories,17.84,2,35.68,2019-01-05,2024-12-18 11:35:00,Credit card,1.67,2.5,33.18,16.59
801-88-0340,C,Naypyitaw,Normal,Female,Clothes and accessories,55.92,2,111.84,2019-01-05,2024-12-18 20:39:00,Credit card,9.41,7.83,104.02,52.01
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,93.95,10,939.5,2019-01-06,2024-12-18 12:46:00,Credit card,28.19,112.74,826.8000000000001,82.68
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,61.85,8,494.8,2019-01-06,2024-12-18 11:23:00,Cash,0.0,89.06,405.68,50.71
490-29-1201,A,Yangon,Normal,Female,Sports and travel,16.11,1,16.11,2019-01-06,2024-12-18 11:09:00,Cash,0.0,2.42,13.69,13.69
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,85.77,4,343.08,2019-01-06,2024-12-18 12:12:00,Cash,0.0,85.77,257.28,64.32
662-72-2873,A,Yangon,Normal,Female,Food and beverages,42.99,5,214.95000000000002,2019-01-06,2024-12-18 13:58:00,Ewallet,3.22,25.79,189.14999999999998,37.83
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,65.3,4,261.2,2019-01-06,2024-12-18 19:46:00,Ewallet,3.92,47.02,214.2,53.55
729-06-2010,B,Mandalay,Member,Male,Health and beauty,84.49,9,760.41,2019-01-06,2024-12-18 11:18:00,Cash,0.0,167.3,593.1,65.9
852-82-2749,A,Yangon,Normal,Male,Sports and travel,67.82,4,271.28,2019-01-06,2024-12-18 13:35:00,Ewallet,4.07,40.69,230.6,57.65
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,44.7,7,312.90000000000003,2019-01-06,2024-12-18 11:51:00,Cash,0.0,78.22,234.64000000000001,33.52
834-25-9265,C,Naypyitaw,Normal,Female,Clothes and accessories,32.91,5,164.54999999999998,2019-01-06,2024-12-18 12:16:00,Cash,2.02,11.52,153.0,30.6
846-10-0344,A,Yangon,Normal,Female,Clothes and accessories,16.98,8,135.84,2019-01-06,2024-12-18 11:54:00,Cash,0.21,9.51,126.32,15.79
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,71.53,1,71.53,2019-01-07,2024-12-18 12:28:00,Ewallet,1.07,10.73,60.8,60.8
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,102.49,6,614.9399999999999,2019-01-07,2024-12-18 15:01:00,Ewallet,9.22,153.74,461.22,76.87
